ID	Symbol	HR	p_value	adj_p_value
219478_at	WFDC1	1.03653698859105	4.62129634201995e-05	0.0147109066270329
213951_s_at	PSMC3IP	0.715513472720884	4.83387078077648e-05	0.0151708651560623
207555_s_at	TBXA2R	-1.77424390324919	5.00188116337897e-05	0.0154113144307129
209803_s_at	PHLDA2	0.339859750255041	5.04880829978928e-05	0.0154113144307129
214277_at	COX11	1.27565170869745	5.18226908137166e-05	0.0156049326946223
218356_at	MRM2	1.0138787291016	5.40474141907606e-05	0.0160578470721696
221509_at	DENR	0.837004879820331	5.5976870798711e-05	0.0164122712106273
201088_at	KPNA2	0.470981047409523	6.40344647911052e-05	0.0173644240334285
203432_at	TMPO	0.576264168285734	6.15975562391824e-05	0.0173644240334285
208590_x_at	GJA3	-1.68934432677436	6.27052846658252e-05	0.0173644240334285
